Frames,Binding Energy
142,-49.609100000001
143,-38.5647999999983
144,-38.7227000000006
145,-38.9561999999958
146,-35.4812000000014
147,-39.3754000000052
148,-44.4912999999977
149,-33.3382000000042
150,-32.5438000000014
151,-35.6614999999967
152,-46.6368000000009
153,-39.3152000000032
154,-31.9060999999989
155,-33.8413000000012
156,-34.1560000000023
157,-37.9462999999943
158,-39.6673999999985
159,-35.825999999998
160,-40.5218000000017
161,-37.0237000000023
162,-44.9275000000041
163,-41.6609999999994
164,-42.2117999999977
165,-36.0861999999985
166,-34.4257999999988
167,-42.2317999999974
168,-35.7456000000008
169,-39.5275000000003
170,-39.3468999999991
171,-31.0143999999968
172,-47.0001999999997
173,-42.2629000000021
174,-43.3311999999963
175,-47.8643000000004
176,-38.5267000000014
177,-40.2161000000018
178,-26.9052999999955
179,-40.3180000000032
180,-37.043499999996
181,-52.1816000000001
182,-49.5769000000013
183,-48.0533000000008
184,-56.520199999999
185,-51.7221000000001
186,-37.3094000000053
187,-47.2953999999993
188,-33.484700000003
189,-39.665900000001
190,-31.0579999999992
191,-39.687999999999
192,-30.2697000000002
193,-32.6745000000025
194,-49.1780000000006
195,-39.4195999999952
196,-28.0848999999997
197,-47.7587000000024
198,-39.3998000000014
199,-34.8671000000029
200,-49.9346999999968
201,-45.7497000000018
202,-35.3195000000037
203,-32.0876999999994
204,-35.8770999999997
205,-38.4111000000031
206,-54.3271999999961
207,-45.1738999999975
208,-41.5944999999965
209,-46.9258999999978
210,-34.7005999999999
211,-38.2969000000006
212,-33.1980999999938
213,-41.2249000000018
214,-28.1654999999999
215,-33.435799999998
216,-25.1135999999968
217,-34.8389999999973
218,-37.0911000000021
219,-41.8195999999998
220,-38.5188000000006
221,-34.3293999999988
222,-44.0213999999999
223,-41.6856000000003
224,-44.5592999999994
225,-40.7749000000017
226,-33.2091999999958
227,-42.1917999999991
228,-41.3068000000019
229,-42.4900999999994
230,-40.6220000000014
231,-34.016100000003
232,-34.1085000000024
233,-35.8964000000014
234,-39.1721999999974
235,-39.5978000000049
236,-38.9205999999983
237,-50.2418999999995
238,-50.2822999999981
239,-56.7012000000059
240,-49.5449000000009
241,-45.9337999999985
242,-48.7034000000024
