#Frame      Mode1    Mode2    Mode3
     348  -50.142  -60.769   11.108
     349  -48.874  -66.598    3.641
     350  -50.214  -63.028    3.318
     351  -45.163  -69.980   -0.430
     352  -39.842  -71.568    3.611
     353  -29.643  -67.787    2.724
     354  -31.686  -68.359   -4.902
     355  -38.908  -62.854    0.542
     356  -39.659  -61.427   11.731
     357  -37.747  -54.926    0.980
     358  -40.998  -58.207    8.318
     359  -47.192  -47.830    6.766
     360  -36.288  -49.141    5.811
     361  -44.145  -44.541    7.303
     362  -45.334  -50.939    0.921
     363  -43.525  -52.778   10.455
     364  -52.180  -63.001   11.783
     365  -55.018  -59.900   15.532
     366  -57.516  -56.639   16.548
     367  -48.748  -48.272    8.157
     368  -53.966  -40.705    9.393
     369  -49.444  -52.178   15.233
     370  -40.906  -53.809    9.672
     371  -44.606  -56.134   15.658
     372  -48.258  -48.635   15.188
     373  -60.489  -36.859    9.374
     374  -60.831  -48.566   19.205
     375  -63.337  -45.738   22.796
     376  -58.897  -40.918   17.596
     377  -51.369  -42.114    9.747
     378  -48.507  -44.850    4.839
     379  -51.013  -40.313    7.769
     380  -50.391  -44.657    0.181
     381  -57.346  -50.560    4.736
     382  -55.025  -52.714    0.393
     383  -42.111  -59.241    4.274
     384  -50.733  -57.992   -7.970
     385  -52.000  -54.111   -5.107
     386  -49.640  -51.534   -0.196
     387  -45.785  -53.428   -9.463
     388  -37.081  -56.120   -3.060
     389  -51.466  -51.725   -9.000
     390  -52.435  -48.850   -0.891
     391  -53.675  -47.019    2.502
     392  -50.534  -49.402   -0.455
     393  -53.037  -55.792   -1.014
     394  -53.592  -53.800   -1.502
     395  -50.567  -60.180   -8.441
     396  -39.079  -65.148  -10.233
     397  -38.819  -59.998   -5.131
     398  -33.614  -64.657    1.538
     399  -30.782  -59.648   -3.245
     400  -35.789  -66.816    0.100
     401  -36.060  -63.678    5.148
     402  -38.675  -56.910    4.251
     403  -37.005  -55.027    6.868
     404  -29.345  -59.325    6.525
     405  -31.249  -59.945   10.766
     406  -26.837  -61.565   20.753
     407  -31.011  -58.777   12.680
     408  -28.552  -66.936    8.975
     409  -33.064  -66.181    5.475
     410  -29.754  -63.234    5.517
     411  -31.657  -72.763    8.669
     412  -41.102  -69.036   -3.457
     413  -52.552  -74.781   -1.758
     414  -47.067  -69.694   -7.197
     415  -44.262  -59.647   -6.221
     416  -47.731  -68.282   -0.705
     417  -50.316  -69.045    4.946
     418  -54.308  -64.785    9.567
     419  -47.378  -62.421   14.560
     420  -52.957  -63.657   11.026
     421  -52.237  -65.460    6.637
     422  -62.553  -57.948   -9.942
     423  -57.607  -59.765  -16.236
     424  -50.979  -64.928  -14.775
     425  -64.189  -61.177   -9.241
     426  -72.020  -63.719    4.707
     427  -74.694  -64.245    4.635
     428  -72.214  -76.939   -6.832
     429  -67.499  -74.008    2.857
